trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Chlb_Res_With_IBM_For_GWAS,-0.033842,-0.002259,0.018498,-0.143427,0.048236,-0.147630,-0.260425,CHG_teosinte_landrace,S73,Chlorophyll B,-0.112794
Chlb_Res_With_IBM_For_GWAS,0.002561,0.000186,-0.002135,-0.005689,-0.00181, 0.018510, 0.011622,CHG_teosinte_landrace,S100,Chlorophyll B,-0.006887
Chlb_Res_With_IBM_For_GWAS,0.059095,0.065914,0.011493,-0.02562,0.006989,-0.154239,-0.036367,CHG_teosinte_landrace,S58,Chlorophyll B,0.117871
Chlb_Res_With_IBM_For_GWAS,-0.015025,0.007138,0.001276,-0.009988,-0.023064, 0.033758,-0.005905,CHG_teosinte_landrace,S16,Chlorophyll B,-0.039663
Chlb_Res_With_IBM_For_GWAS,0.011027,-0.018444,-0.006825,0.008872,-0.018986,-0.005038,-0.029393,CHG_teosinte_landrace,S42,Chlorophyll B,-0.024356
Chlb_Res_With_IBM_For_GWAS,-0.051368,-0.011295,-0.001674,0.011615,-0.011468, 0.056789,-0.007401,CHG_teosinte_landrace,S9,Chlorophyll B,-0.06419
Chlb_Res_With_IBM_For_GWAS,0.012749,0.062083,0.009099,-0.011792,0.000808,-0.045621, 0.027325,CHG_teosinte_landrace,S48,Chlorophyll B,0.072947
Chlb_Res_With_IBM_For_GWAS,-0.046979,-0.003891,-0.036242,-0.044499,0.023177, 0.095916,-0.012517,CHG_teosinte_landrace,S74,Chlorophyll B,-0.108434
Chlb_Res_With_IBM_For_GWAS,0.00724,-0.023465,-0.01438,0.012665,0.020626,-0.018875,-0.016189,CHG_teosinte_landrace,S11,Chlorophyll B,0.002686
Chlb_Res_With_IBM_For_GWAS,-0.007406,0.000991,0.000622,-0.010578,0.004125, 0.001099,-0.011146,CHG_teosinte_landrace,S59,Chlorophyll B,-0.012246
Chlb_Res_With_IBM_For_GWAS,0.000519,-0.00021,0.000778,-0.002687,-0.000214, 0.015593, 0.013779,CHG_teosinte_landrace,S17,Chlorophyll B,-0.001814
Chlb_Res_With_IBM_For_GWAS,-0.02487,-0.021947,-0.002534,-0.032552,-0.02969, 0.101720,-0.009873,CHG_teosinte_landrace,S43,Chlorophyll B,-0.111593
Chlb_Res_With_IBM_For_GWAS,-0.005906,-0.000539,0.004677,-0.001962,0.004919, 0.009532, 0.010721,CHG_teosinte_landrace,S90,Chlorophyll B,0.001189
Chlb_Res_With_IBM_For_GWAS,0.009548,-0.001146,0.004668,0.00262,-0.001416, 0.003419, 0.017693,CHG_teosinte_landrace,S49,Chlorophyll B,0.014274
Chlb_Res_With_IBM_For_GWAS,-0.003354,-0.000784,0.003299,0.001333,-0.000577, 0.013469, 0.013386,CHG_teosinte_landrace,S75,Chlorophyll B,-8.30000000000004e-05
Chlb_Res_With_IBM_For_GWAS,-0.004308,0.003347,0.000732,-0.002958,0.001312, 0.015092, 0.013216,CHG_teosinte_landrace,S12,Chlorophyll B,-0.001875
Chlb_Res_With_IBM_For_GWAS,-0.00115,0.011496,0.013465,-0.023376,-0.067196,-0.012889,-0.079651,CHG_teosinte_landrace,S6,Chlorophyll B,-0.066761
Chlb_Res_With_IBM_For_GWAS,-0.039265,-0.001732,-0.005782,0.049771,-0.042047, 0.042047, 0.002991,CHG_teosinte_landrace,S18,Chlorophyll B,-0.039055
Chlb_Res_With_IBM_For_GWAS,0.007833,-0.001423,-0.021243,0.008001,0.007028,-0.029865,-0.029669,CHG_teosinte_landrace,S44,Chlorophyll B,0.000195999999999997
Chlb_Res_With_IBM_For_GWAS,-0.002678,-0.017054,-0.003934,-0.033507,-0.009851, 0.124580, 0.057556,CHG_teosinte_landrace,S91,Chlorophyll B,-0.067024
Chlb_Res_With_IBM_For_GWAS,-0.00034,-0.030598,0.021898,-0.008098,-0.006463, 0.001891,-0.021710,CHG_teosinte_landrace,S5,Chlorophyll B,-0.023601
Chlb_Res_With_IBM_For_GWAS,-0.004323,0.000515,0.001062,0.003294,-0.012697,-0.006180,-0.018328,CHG_teosinte_landrace,S76,Chlorophyll B,-0.012149
Chlb_Res_With_IBM_For_GWAS,0.000428,0.001231,0.000561,-0.00075,0.001437, 0.012215, 0.015123,CHG_teosinte_landrace,S13,Chlorophyll B,0.002907
Chlb_Res_With_IBM_For_GWAS,-0.004413,-0.002657,0.005417,0.0072,-0.000978, 0.007839, 0.012408,CHG_teosinte_landrace,S60,Chlorophyll B,0.004569
Chlb_Res_With_IBM_For_GWAS,-0.000396,-0.003327,-6.4e-05,-0.005353,0.002053, 0.020034, 0.012947,CHG_teosinte_landrace,S19,Chlorophyll B,-0.007087
Chlb_Res_With_IBM_For_GWAS,0.016514,0.003464,0.010001,-0.010503,-0.020535,-0.059579,-0.060638,CHG_teosinte_landrace,S45,Chlorophyll B,-0.001059
Chlb_Res_With_IBM_For_GWAS,-0.074952,-0.064371,-0.007279,-0.046929,-0.106179, 0.258848,-0.040863,CHG_teosinte_landrace,S92,Chlorophyll B,-0.29971
