Genes (V3)	Genes (V4)	 Maize_EAR	 Teosinte_EAR	 Maize_LEAF	 Teosinte_LEAF	 Maize_STEM	 Teosinte_STEM
GRMZM2G101408	Zm00001d002677	476	492	377	611	478	580
GRMZM2G101409	Zm00001d007199	0	9	1	4	0	4
GRMZM2G101413	Zm00001d038754	401	651	444	666	397	580
GRMZM2G101446	Zm00001d049230	17603	17906	10458	11846	13084	14754
GRMZM2G101457	Zm00001d038755	505	459	300	328	465	602
GRMZM2G101460	Zm00001d033866	1450	1640	828	1194	1241	1417
GRMZM2G101463	Zm00001d018147	3641	3098	3273	3681	3101	2745
GRMZM2G101480	Zm00001d049320	4928	4943	2900	3028	4950	6021
GRMZM2G101502	Zm00001d018506	808	725	593	562	1707	1278
GRMZM2G101511	Zm00001d049822	118	276	0	3	1	1
GRMZM2G101515	Zm00001d039041	10631	10522	4679	6031	5422	5759
GRMZM2G101518	Zm00001d052219	318	333	293	184	350	364
GRMZM2G101519	Zm00001d017028	6	4	NA	NA	NA	NA
GRMZM2G101523	Zm00001d017029	3438	4779	1619	1981	3144	3455
GRMZM2G101533	Zm00001d038756	236	253	112	123	177	235
GRMZM2G101547	Zm00001d017030	534	545	414	426	327	315
GRMZM2G101571	Zm00001d018507	280	412	243	261	390	529
GRMZM2G101576	Zm00001d030234	44	90	32	3	6	12
GRMZM2G101596	Zm00001d005473	715	449	356	238	510	356
GRMZM2G101613	Zm00001d018149	8	10	160	45	99	37
GRMZM2G101617	Zm00001d043167	0	16	289	71	2	4
GRMZM2G101625	Zm00001d035569	334	300	245	336	601	577
GRMZM2G101634	Zm00001d035568	45	24	12	11	25	15
GRMZM2G101635	Zm00001d051291	1628	1723	1418	1402	1400	1306
GRMZM2G101682	Zm00001d034506	318	228	1	10	1	0
GRMZM2G101687	Zm00001d051323	219	215	82	68	109	111
GRMZM2G101689	Zm00001d029188	1387	1231	578	805	983	970
GRMZM2G101693	Zm00001d046656	46	69	29	34	70	114
GRMZM2G101698	Zm00001d043328	430	422	510	585	343	414
GRMZM2G101707	Zm00001d036970	403	437	85	146	98	150
GRMZM2G101711	Zm00001d020965	5211	4825	3135	2685	5116	3810
GRMZM2G101741	Zm00001d020967	0	3	NA	NA	8	17
GRMZM2G101744	Zm00001d029189	572	487	524	558	454	479
GRMZM2G101754	Zm00001d051875	87	90	62	59	54	76
GRMZM2G101760	Zm00001d043329	5424	7032	4256	3890	5422	4794
GRMZM2G101769	Zm00001d006860	71	19	219	49	215	140
GRMZM2G101818	Zm00001d053828	0	8	555	149	48	156
GRMZM2G101852	Zm00001d010403	172	163	135	80	176	162
GRMZM2G101856	Zm00001d033550	1	0	NA	NA	NA	NA
GRMZM2G101859	Zm00001d036151	1540	1267	1170	977	1688	1993
GRMZM2G101867	Zm00001d004986	3268	3262	2668	2343	1909	1752
GRMZM2G101872	Zm00001d053829	41	10	0	6	0	3
GRMZM2G101874	Zm00001d037413	7236	7026	2017	2790	1888	2407
GRMZM2G101875	Zm00001d024723	10069	16315	26289	16248	1461	4515
GRMZM2G101900	Zm00001d024203	1204	800	701	667	813	603
GRMZM2G101926	Zm00001d024722	435	552	356	313	339	350
GRMZM2G101938	Zm00001d037004	5368	4778	4689	4253	6958	5233
GRMZM2G102000	Zm00001d002373	4092	3811	2689	2990	3281	2835
GRMZM2G102015	Zm00001d009260	67	46	26	38	50	39
GRMZM2G102021	Zm00001d016002	1901	1721	491	779	922	1084
GRMZM2G102056	Zm00001d042054	NA	NA	NA	NA	1	0
GRMZM2G102059	Zm00001d002562	12	10	6	15	10	12
GRMZM2G102069	Zm00001d002372	957	750	154	155	126	104
GRMZM2G102075	Zm00001d018979	6660	5691	5551	7055	5059	4584
GRMZM2G102088	Zm00001d002371	3637	3918	2398	2150	4064	3216
GRMZM2G102156	Zm00001d024159	1553	974	712	586	598	375
GRMZM2G102161	Zm00001d048082	2182	1698	7	11	7	0
GRMZM2G102163	Zm00001d051925	1887	1998	638	673	268	267
GRMZM2G102167	Zm00001d022602	104	147	291	292	52	83
GRMZM2G102174	Zm00001d041940	744	754	214	257	301	304
GRMZM2G102183	Zm00001d003247	35	28	144	20	3708	1519
GRMZM2G102189	Zm00001d015698	35	33	17	10	44	25
GRMZM2G102196	Zm00001d039787	2095	1896	1429	1159	2600	1974
GRMZM2G102216	Zm00001d051928	12	21	29	24	11	8
GRMZM2G102225	Zm00001d036267	2	1	NA	NA	NA	NA
GRMZM2G102230	Zm00001d051929	2439	2149	3335	4304	2883	2445
GRMZM2G102231	Zm00001d024413	762	785	949	1163	1516	1833
GRMZM2G102238	Zm00001d003248	360	160	135	102	164	128
GRMZM2G102242	Zm00001d005140	787	407	182	249	365	198
GRMZM2G102243	Zm00001d021404	1468	1168	1021	882	1396	1334
GRMZM2G102255	Zm00001d039163	320	464	192	297	351	451
GRMZM2G102314	Zm00001d011877	195	180	97	117	85	116
GRMZM2G102318	Zm00001d011417	197	197	446	287	827	1016
GRMZM2G102322	Zm00001d046155	299	202	71	140	70	49
